(4 byte int),TINTRPL,roll,pitch,yaw,AccS_X,AccS_Y,AccS_Z,OmgS_X,OmgS_Y,OmgS_Z
0000,+317382.3345,-1.7983089E+002,6.2207514E-001,2.5151268E-001,1.3633383E-003,4.4046817E-003,7.0000236E-004,-9.3911403E-005,-7.7085271E-003,-2.2038911E-003
0000,+317382.3395,-1.7983089E+002,6.2205750E-001,2.5146690E-001,2.6196293E-003,4.8702452E-003,-7.6630508E-004,-4.4347751E-005,3.5552364E-003,9.1462061E-003
0000,+317382.3445,-1.7983089E+002,6.2203985E-001,2.5142109E-001,3.8158605E-003,4.3303338E-003,3.4201416E-004,-4.4345641E-005,3.5552364E-003,9.1462061E-003
0000,+317382.3495,-1.7983089E+002,6.2207860E-001,2.5137553E-001,2.6700632E-003,5.1765246E-003,-1.3377438E-003,-9.7840828E-005,-7.7206385E-003,9.1359122E-003
0000,+317382.3545,-1.7983089E+002,6.2206072E-001,2.5138646E-001,6.0586043E-004,5.0798869E-003,-2.7937576E-004,-4.0407591E-005,3.5673473E-003,-2.1935962E-003
0000,+317382.3595,-1.7983090E+002,6.2209946E-001,2.5134090E-001,3.0184462E-004,5.0358120E-003,-2.4468347E-004,-9.7835786E-005,-7.7206385E-003,9.1359122E-003
0000,+317382.3645,-1.7983090E+002,6.2208182E-001,2.5129509E-001,1.9052178E-003,4.2780200E-003,2.5696418E-004,-4.4337990E-005,3.5552364E-003,9.1462061E-003
0000,+317382.3695,-1.7983090E+002,6.2212056E-001,2.5124955E-001,2.3840333E-003,4.1552554E-003,-1.0159824E-003,-9.7832148E-005,-7.7206385E-003,9.1359122E-003
0000,+317382.3745,-1.7983090E+002,6.2210274E-001,2.5126046E-001,2.3322536E-003,3.6206860E-003,-2.8909283E-004,-4.0401352E-005,3.5673478E-003,-2.1935962E-003
0000,+317382.3795,-1.7983090E+002,6.2208503E-001,2.5121468E-001,-4.0383427E-004,4.2599719E-003,-1.7496255E-003,-4.4333810E-005,3.5552364E-003,9.1462070E-003
0000,+317382.3845,-1.7983090E+002,6.2206715E-001,2.5122559E-001,1.5533117E-004,3.4287090E-003,9.5150573E-004,-4.0397823E-005,3.5673478E-003,-2.1935962E-003
0000,+317382.3895,-1.7983090E+002,6.2210590E-001,2.5118002E-001,1.2528920E-003,3.3789489E-003,-6.7243254E-004,-9.7828291E-005,-7.7206385E-003,9.1359122E-003
0000,+317382.3945,-1.7983090E+002,6.2208802E-001,2.5119093E-001,2.7522766E-003,2.6009281E-003,-1.0493305E-004,-4.0396470E-005,3.5673478E-003,-2.1935962E-003
0000,+317382.3995,-1.7983090E+002,6.2207013E-001,2.5120184E-001,2.9638596E-003,2.0789099E-003,-9.6495397E-004,-4.0396466E-005,3.5673478E-003,-2.1935962E-003
0000,+317382.4045,-1.7983090E+002,6.2205231E-001,2.5121275E-001,1.0574805E-003,1.9559427E-003,-4.0359722E-005,-4.0396466E-005,3.5673478E-003,-2.1935962E-003
0000,+317382.4095,-1.7983090E+002,6.2209082E-001,2.5122392E-001,6.4290664E-004,2.3485033E-003,1.7131415E-004,-9.3894028E-005,-7.7085271E-003,-2.2038906E-003
0000,+317382.4145,-1.7983090E+002,6.2207294E-001,2.5123483E-001,2.0884566E-003,8.9375081E-004,6.8974664E-004,-4.0398623E-005,3.5673478E-003,-2.1935962E-003
0000,+317382.4195,-1.7983090E+002,6.2205505E-001,2.5124574E-001,4.0566605E-003,1.5295586E-003,-4.0015214E-004,-4.0398623E-005,3.5673478E-003,-2.1935962E-003
0000,+317382.4245,-1.7983090E+002,6.2209356E-001,2.5125685E-001,4.4233166E-003,5.8856240E-004,-1.3444993E-004,-9.3896619E-005,-7.7085271E-003,-2.2038906E-003
0000,+317382.4295,-1.7983090E+002,6.2207550E-001,2.5132447E-001,2.8830874E-003,5.0404720E-004,-1.0367354E-003,-3.6469712E-005,3.5794585E-003,-1.3533399E-002
0000,+317382.4345,-1.7983090E+002,6.2205762E-001,2.5133541E-001,2.2222509E-003,7.6951075E-004,2.9262668E-004,-4.0404280E-005,3.5673478E-003,-2.1935962E-003
0000,+317382.4395,-1.7983090E+002,6.2209612E-001,2.5134653E-001,3.7687258E-003,-2.6757456E-004,8.8256355E-005,-9.3900977E-005,-7.7085271E-003,-2.2038906E-003
0000,+317382.4445,-1.7983090E+002,6.2207824E-001,2.5135744E-001,5.0805062E-003,-3.3947401E-004,-2.9158202E-004,-4.0406438E-005,3.5673478E-003,-2.1935962E-003
0000,+317382.4495,-1.7983090E+002,6.2206042E-001,2.5136837E-001,5.2912314E-003,-1.4812937E-003,-4.2017896E-004,-4.0406438E-005,3.5673478E-003,-2.1935962E-003
0000,+317382.4545,-1.7983090E+002,6.2209862E-001,2.5143620E-001,4.1852170E-003,-1.0515633E-003,-3.3576935E-004,-8.9971101E-005,-7.6964158E-003,-1.3543693E-002
0000,+317382.4595,-1.7983090E+002,6.2208080E-001,2.5144711E-001,1.8814960E-003,-1.3735126E-003,-9.6898970E-005,-4.0412113E-005,3.5673478E-003,-2.1935960E-003
0000,+317382.4645,-1.7983090E+002,6.2211931E-001,2.5145826E-001,3.2931168E-003,-2.0951317E-003,6.9185463E-004,-9.3909250E-005,-7.7085271E-003,-2.2038904E-003
